,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Punch Taverns ,5.1,9,3.4,10,4.1,10,4.3,10,4.4,9,4.4,9,4,9,4.3,9,4.4,9,38.4,9,Restaurants,2011
Restaurant Group ,6.3,6,5.8,6,6.3,8,5.7,8,5.3,8,5.5,8,5.5,7,5,7,5.3,8,50.7,8,Restaurants,2011
Wetherspoon (JD) ,7.5,2,7.3,2,7.3,2,6.9,2,7.4,1,6.9,2,6.2,3,6.2,2,7.3,1,62.9,2,Restaurants,2011
Aldi ,6.7,7,7.6,4,6.7,6,6,7,7.3,2,6.1,7,6.9,5,5.3,8,7.8,1,60.4,6,Food and personal retailers,2011
Alliance Boots ,7.9,2,7,5,7.2,4,7.1,4,6.9,4,7.1,3,7.2,2,6.3,6,7.7,2,64.5,2,Food and personal retailers,2011
ASDA (UK) ,7.5,3,8.6,1,6.1,8,6.5,5,6.5,5,6.4,6,6.4,6,6.1,7,6.8,4,60.9,4,Food and personal retailers,2011
Co-operative Group ,5.5,10,6.4,8,6.2,7,5.2,9,5,9,5.6,8,5.8,8,7.7,1,5.7,10,53.1,8,Food and personal retailers,2011
Iceland ,7.2,4,6.5,7,5.3,10,5.2,10,5.5,8,5.4,9,5.8,7,5,10,6.6,5,52.5,9,Food and personal retailers,2011
Lidl ,6,9,6.7,6,5.4,9,5.7,8,6.1,6,5.2,10,5.6,9,5.2,9,6.6,7,52.4,10,Food and personal retailers,2011
Morrison (Wm) ,8.1,1,8.3,2,7.6,2,7.5,2,7.4,1,6.8,4,7.7,1,6.5,4,7.3,3,67.3,1,Food and personal retailers,2011
Ocado ,6.4,8,3.8,10,7.9,1,6.5,6,4.7,10,7.8,1,5.5,10,7,3,5.8,9,55.4,7,Food and personal retailers,2011
