,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
216,Telecoms,Vodafone,6.4,2,8.2,1,7.1,2,8.1,1,7.1,2,5.6,3,6.3,1,6.2,2,5.2,3,60.3,1,2009
57,Aero and defence,VT Group,6.5,6,7,5,6.9,6,6.1,8,6.5,6,6.1,7,6.3,5,5.7,8,6,8,57.2,6,2009
67,Engineering,Weir Group,8,1,6.7,5,7.3,1,7,2,7,2,7,1,6.7,2,5.7,6,6.3,3,61.7,2,2009
150,Restaurants,Wetherspoon (JD),7.6,1,6.7,4,6.1,6,6.1,4,5.9,6,6.5,4,5.3,4,5,9,6.5,2,55.6,4,2009
179,Specialist retailers,WH Smith,7.3,1,6.7,2,6.3,5,6.3,3,6.4,3,5.9,6,5.4,7,5.7,4,7.3,1,57.3,3,2009
94,Leisure,Whitbread,7.1,2,7.1,1,7.4,1,6.8,2,7.1,2,6.3,1,6.5,2,5.9,2,6.5,2,60.6,2,2009
95,Leisure,William Hill,5.4,7,6.4,4,5.3,7,5,6,4.9,6,4.6,9,4.3,9,4.4,10,4.6,9,44.9,9,2009
20,Building materials,Wolseley,4.3,10,3.6,10,6,10,4.4,10,4.3,10,4.9,10,4.8,7,5.1,7,4.6,10,42,10,2009
115,Media,WPP Group,6.7,4,5.4,7,6.6,5,6.2,4,6.4,5,5.9,4,6.8,2,5.5,5,6,5,55.5,4,2009
47,Home construction,Wren Homes Gp,3.8,10,3.5,7,5.3,7,3.4,10,4.4,6,4.9,6,4,8,5.3,5,3.8,7,38.1,8,2009
123,Extractive,Xstrata,7.8,2,6.5,5,7.5,4,7.3,6,6.8,7,6.5,4,6.4,4,5.6,6,7,7,61.3,4,2009
151,Restaurants,Young & Co,6.3,6,7.6,3,6.6,5,5.6,5,6.4,3,5.2,5,4.9,6,5.2,5,6.4,4,54.2,5,2009
26,Chemicals,Yule Catto,5.4,5,5.4,4,5,7,4.5,5,4.3,5,4.5,5,5.1,5,4.1,5,4.6,7,42.9,5,2009
27,Chemicals,Zotefoams,5.7,4,5.2,5,5.2,6,4.3,7,4,6,4.5,5,5.2,4,4,6,4.7,5,42.7,6,2009
